,movieId,era_vector
0,1,[0. 1. 0. 0.]
1,2,[0. 1. 0. 0.]
2,3,[0. 1. 0. 0.]
3,5,[0. 1. 0. 0.]
4,6,[0. 1. 0. 0.]
5,7,[1. 0. 0. 0.]
6,915,[1. 0. 0. 0.]
7,9,[0. 1. 0. 0.]
8,10,[0. 1. 0. 0.]
9,12,[0. 1. 0. 0.]
10,13,[0. 1. 0. 0.]
11,14,[0. 1. 0. 0.]
12,15,[0. 1. 0. 0.]
13,16,[0. 1. 0. 0.]
14,17,[0. 1. 0. 0.]
15,18,[0. 1. 0. 0.]
16,19,[0. 1. 0. 0.]
17,20,[0. 1. 0. 0.]
18,21,[0. 1. 0. 0.]
19,22,[0. 1. 0. 0.]
20,23,[0. 1. 0. 0.]
21,24,[0. 1. 0. 0.]
22,25,[0. 1. 0. 0.]
23,26,[1. 0. 0. 0.]
24,28,[0. 1. 0. 0.]
25,74508,[0. 1. 0. 0.]
26,31,[0. 1. 0. 0.]
27,34,[0. 1. 0. 0.]
28,36,[0. 1. 0. 0.]
29,38,[0. 1. 0. 0.]
30,39,[0. 1. 0. 0.]
31,42,[0. 1. 0. 0.]
32,44,[0. 1. 0. 0.]
33,45,[0. 1. 0. 0.]
34,46,[0. 1. 0. 0.]
35,48,[0. 1. 0. 0.]
36,49,[0. 1. 0. 0.]
37,52,[0. 1. 0. 0.]
38,53,[0. 1. 0. 0.]
39,63,[0. 1. 0. 0.]
40,65,[0. 1. 0. 0.]
41,69,[0. 1. 0. 0.]
42,70,[0. 1. 0. 0.]
43,71,[0. 0. 1. 0.]
44,76,[0. 1. 0. 0.]
45,81,[0. 1. 0. 0.]
46,86,[0. 1. 0. 0.]
47,87,[0. 1. 0. 0.]
48,88,[0. 1. 0. 0.]
49,55553,[0. 1. 0. 0.]
50,89,[0. 1. 0. 0.]
51,92,[0. 1. 0. 0.]
52,93,[0. 1. 0. 0.]
53,94,[0. 1. 0. 0.]
54,95,[0. 1. 0. 0.]
55,54121,[0. 1. 0. 0.]
56,101,[0. 1. 0. 0.]
57,104,[0. 1. 0. 0.]
58,107,[0. 1. 0. 0.]
59,110,[0. 1. 0. 0.]
60,111,[1. 0. 0. 0.]
61,118,[0. 1. 0. 0.]
62,122,[0. 1. 0. 0.]
63,135,[0. 1. 0. 0.]
64,137,[0. 0. 1. 0.]
65,48593,[0. 0. 1. 0.]
66,145,[0. 1. 0. 0.]
67,150,[0. 1. 0. 0.]
68,151,[0. 1. 0. 0.]
69,153,[0. 1. 0. 0.]
70,158,[0. 1. 0. 0.]
71,160,[0. 1. 0. 0.]
72,161,[0. 1. 0. 0.]
73,162,[0. 1. 0. 0.]
74,163,[0. 1. 0. 0.]
75,164,[0. 1. 0. 0.]
76,165,[0. 1. 0. 0.]
77,168,[0. 1. 0. 0.]
78,169,[0. 1. 0. 0.]
79,170,[0. 1. 0. 0.]
80,172,[0. 1. 0. 0.]
81,173,[0. 1. 0. 0.]
82,175,[0. 1. 0. 0.]
83,176,[0. 1. 0. 0.]
84,177,[0. 1. 0. 0.]
85,179,[1. 0. 0. 0.]
86,180,[0. 1. 0. 0.]
87,181,[0. 1. 0. 0.]
88,186,[0. 1. 0. 0.]
89,187,[0. 1. 0. 0.]
90,190,[0. 1. 0. 0.]
91,94405,[0. 1. 0. 0.]
92,193,[0. 1. 0. 0.]
93,195,[0. 1. 0. 0.]
94,196,[0. 1. 0. 0.]
95,198,[0. 1. 0. 0.]
96,202,[0. 1. 0. 0.]
97,203,[0. 1. 0. 0.]
98,204,[0. 1. 0. 0.]
99,208,[0. 1. 0. 0.]
100,215,[0. 1. 0. 0.]
101,216,[0. 1. 0. 0.]
102,220,[0. 1. 0. 0.]
103,223,[0. 1. 0. 0.]
104,224,[0. 1. 0. 0.]
105,225,[0. 1. 0. 0.]
106,230,[0. 1. 0. 0.]
107,235,[0. 1. 0. 0.]
108,236,[0. 1. 0. 0.]
109,247,[0. 1. 0. 0.]
110,252,[0. 1. 0. 0.]
111,256,[0. 1. 0. 0.]
112,261,[0. 1. 0. 0.]
