,movieId,title,genres,movie_vector
0,1,Toy Story (1995),"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1,2,Jumanji (1995),"['Adventure', 'Children', 'Fantasy']",[1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2,3,Grumpier Old Men (1995),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3,5,Father of the Bride Part II (1995),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4,6,Heat (1995),"['Action', 'Crime', 'Thriller']",[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
5,7,Sabrina (1995),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,9,Sudden Death (1995),['Action'],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
7,10,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",[1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0]
8,12,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",[0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
9,13,Balto (1995),"['Adventure', 'Animation', 'Children']",[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
10,14,Nixon (1995),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
11,15,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",[1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
12,16,Casino (1995),"['Crime', 'Drama']",[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0]
13,17,Sense and Sensibility (1995),"['Drama', 'Romance']",[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
14,18,Four Rooms (1995),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
15,19,Ace Ventura: When Nature Calls (1995),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
16,20,Money Train (1995),"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",[0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0]
17,21,Get Shorty (1995),"['Comedy', 'Crime', 'Thriller']",[0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0]
18,22,Copycat (1995),"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",[0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0]
19,23,Assassins (1995),"['Action', 'Crime', 'Thriller']",[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
20,24,Powder (1995),"['Drama', 'Sci-Fi']",[0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0]
21,25,Leaving Las Vegas (1995),"['Drama', 'Romance']",[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
