,userId,movieId,user_vector,movie_vector,og_rating,pred_rating
0,1,151,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],5.0,4.176470588235294
1,1,500,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],3.0,4.176470588235294
2,1,543,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],4.0,4.176470588235294
3,1,553,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],5.0,4.176470588235294
4,1,1092,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],5.0,4.176470588235294
5,1,1097,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],5.0,4.176470588235294
6,1,1275,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],5.0,4.176470588235294
7,1,1517,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],5.0,4.176470588235294
8,1,1587,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],5.0,4.176470588235294
9,1,1644,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],3.0,4.176470588235294
10,1,2028,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],4.0,4.176470588235294
11,1,2054,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],4.0,4.176470588235294
12,1,2093,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],3.0,4.176470588235294
13,1,2096,[4.48387097 4.17647059 4.8        5.        ],[1. 0. 0. 0.],4.0,4.483870967741935
14,1,2115,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],5.0,4.176470588235294
15,1,2193,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],4.0,4.176470588235294
16,1,2338,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],2.0,4.176470588235294
17,1,2406,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],4.0,4.176470588235294
18,1,2470,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],5.0,4.176470588235294
19,1,2478,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],4.0,4.176470588235294
20,1,2528,[4.48387097 4.17647059 4.8        5.        ],[1. 0. 0. 0.],3.0,4.483870967741935
21,1,2529,[4.48387097 4.17647059 4.8        5.        ],[1. 0. 0. 0.],5.0,4.483870967741935
22,1,2580,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],5.0,4.176470588235294
23,1,2947,[4.48387097 4.17647059 4.8        5.        ],[1. 0. 0. 0.],5.0,4.483870967741935
24,1,2949,[4.48387097 4.17647059 4.8        5.        ],[1. 0. 0. 0.],5.0,4.483870967741935
25,1,2985,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],4.0,4.176470588235294
26,1,3273,[4.48387097 4.17647059 4.8        5.        ],[0. 0. 1. 0.],5.0,4.8
27,1,3729,[4.48387097 4.17647059 4.8        5.        ],[0. 0. 0. 1.],5.0,5.0
28,1,3744,[4.48387097 4.17647059 4.8        5.        ],[0. 0. 0. 1.],4.0,5.0
29,1,3809,[4.48387097 4.17647059 4.8        5.        ],[0. 1. 0. 0.],4.0,4.176470588235294
30,2,8798,[0.   4.25 4.15 3.7 ],[0. 0. 1. 0.],3.5,4.15
31,2,71535,[0.   4.25 4.15 3.7 ],[0. 0. 1. 0.],3.0,4.15
32,2,99114,[0.   4.25 4.15 3.7 ],[0. 0. 0. 1.],3.5,3.7
33,2,112552,[0.   4.25 4.15 3.7 ],[0. 0. 0. 1.],4.0,3.7
34,3,914,[2.7        1.58333333 0.5        0.        ],[1. 0. 0. 0.],0.5,2.7
35,3,2018,[2.7        1.58333333 0.5        0.        ],[1. 0. 0. 0.],0.5,2.7
36,3,4518,[2.7        1.58333333 0.5        0.        ],[0. 1. 0. 0.],5.0,1.5833333333333333
37,3,5048,[2.7        1.58333333 0.5        0.        ],[0. 0. 1. 0.],0.5,0.5
38,3,70946,[2.7        1.58333333 0.5        0.        ],[0. 1. 0. 0.],5.0,1.5833333333333333
39,4,21,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],3.0,3.3870967741935485
40,4,190,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],2.0,3.3870967741935485
41,4,247,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],3.0,3.3870967741935485
42,4,648,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],3.0,3.3870967741935485
43,4,1084,[4.57142857 3.38709677 3.64285714 0.        ],[1. 0. 0. 0.],5.0,4.571428571428571
44,4,1103,[4.57142857 3.38709677 3.64285714 0.        ],[1. 0. 0. 0.],5.0,4.571428571428571
45,4,1136,[4.57142857 3.38709677 3.64285714 0.        ],[1. 0. 0. 0.],5.0,4.571428571428571
46,4,1279,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],2.0,3.3870967741935485
47,4,1288,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],4.0,3.3870967741935485
48,4,1391,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],1.0,3.3870967741935485
49,4,1617,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],2.0,3.3870967741935485
50,4,1883,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],4.0,3.3870967741935485
51,4,1907,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],3.0,3.3870967741935485
52,4,2203,[4.57142857 3.38709677 3.64285714 0.        ],[1. 0. 0. 0.],4.0,4.571428571428571
53,4,2282,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],1.0,3.3870967741935485
54,4,2395,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],3.0,3.3870967741935485
55,4,2921,[4.57142857 3.38709677 3.64285714 0.        ],[1. 0. 0. 0.],4.0,4.571428571428571
56,4,2973,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],2.0,3.3870967741935485
57,4,2997,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],4.0,3.3870967741935485
58,4,3044,[4.57142857 3.38709677 3.64285714 0.        ],[0. 1. 0. 0.],5.0,3.3870967741935485
59,4,3481,[4.57142857 3.38709677 3.64285714 0.        ],[0. 0. 1. 0.],2.0,3.642857142857143
60,4,3897,[4.57142857 3.38709677 3.64285714 0.        ],[0. 0. 1. 0.],4.0,3.642857142857143
61,4,3911,[4.57142857 3.38709677 3.64285714 0.        ],[0. 0. 1. 0.],3.0,3.642857142857143
62,4,4967,[4.57142857 3.38709677 3.64285714 0.        ],[0. 0. 0. 1.],5.0,0.0
63,5,261,[5.   3.75 0.   0.  ],[0. 1. 0. 0.],4.0,3.75
64,5,266,[5.   3.75 0.   0.  ],[0. 1. 0. 0.],1.0,3.75
65,5,316,[5.   3.75 0.   0.  ],[0. 1. 0. 0.],2.0,3.75
66,5,380,[5.   3.75 0.   0.  ],[0. 1. 0. 0.],2.0,3.75
67,5,596,[5.   3.75 0.   0.  ],[1. 0. 0. 0.],5.0,5.0
68,5,597,[5.   3.75 0.   0.  ],[0. 1. 0. 0.],3.0,3.75
69,6,2,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],4.0,3.6083333333333334
70,6,10,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],3.0,3.6083333333333334
71,6,24,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],4.0,3.6083333333333334
72,6,25,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],3.0,3.6083333333333334
73,6,87,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],3.0,3.6083333333333334
74,6,145,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],4.0,3.6083333333333334
75,6,151,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],4.0,3.6083333333333334
76,6,179,[3.5        3.60833333 0.         4.        ],[1. 0. 0. 0.],1.0,3.5
77,6,195,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],4.0,3.6083333333333334
78,6,216,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],4.0,3.6083333333333334
79,6,230,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],5.0,3.6083333333333334
80,6,252,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],4.0,3.6083333333333334
