movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Adventure|Animation|Children
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms (1995),Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Action|Crime|Thriller
24,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
26,Othello (1995),Drama
28,Persuasion (1995),Drama|Romance
31,Dangerous Minds (1995),Drama
34,Babe (1995),Children|Drama
36,Dead Man Walking (1995),Crime|Drama
38,It Takes Two (1995),Children|Comedy
39,Clueless (1995),Comedy|Romance
42,Dead Presidents (1995),Action|Crime|Drama
44,Mortal Kombat (1995),Action|Adventure|Fantasy
45,To Die For (1995),Comedy|Drama|Thriller
46,How to Make an American Quilt (1995),Drama|Romance
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
49,When Night Is Falling (1995),Drama|Romance
52,Mighty Aphrodite (1995),Comedy|Drama|Romance
53,Lamerica (1994),Adventure|Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
65,Bio-Dome (1996),Comedy
69,Friday (1995),Comedy
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
71,Fair Game (1995),Action
76,Screamers (1995),Action|Sci-Fi|Thriller
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
86,White Squall (1996),Action|Adventure|Drama
87,Dunston Checks In (1996),Children|Comedy
88,Black Sheep (1996),Comedy
89,Nick of Time (1995),Action|Thriller
92,Mary Reilly (1996),Drama|Horror|Thriller
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
94,Beautiful Girls (1996),Comedy|Drama|Romance
95,Broken Arrow (1996),Action|Adventure|Thriller
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
104,Happy Gilmore (1996),Comedy
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
110,Braveheart (1995),Action|Drama|War
111,Taxi Driver (1976),Crime|Drama|Thriller
118,If Lucy Fell (1996),Comedy|Romance
122,Boomerang (1992),Comedy|Romance
135,Down Periscope (1996),Comedy
137,Man of the Year (1995),Documentary
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
150,Apollo 13 (1995),Adventure|Drama|IMAX
151,Rob Roy (1995),Action|Drama|Romance|War
153,Batman Forever (1995),Action|Adventure|Comedy|Crime
158,Casper (1995),Adventure|Children
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
161,Crimson Tide (1995),Drama|Thriller|War
162,Crumb (1994),Documentary
163,Desperado (1995),Action|Romance|Western
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
168,First Knight (1995),Action|Drama|Romance
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
170,Hackers (1995),Action|Adventure|Crime|Thriller
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,Judge Dredd (1995),Action|Crime|Sci-Fi
175,Kids (1995),Drama
176,Living in Oblivion (1995),Comedy
177,Lord of Illusions (1995),Horror
179,Mad Love (1995),Drama|Romance
180,Mallrats (1995),Comedy|Romance
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
186,Nine Months (1995),Comedy|Romance
187,Party Girl (1995),Comedy
190,Safe (1995),Thriller
193,Showgirls (1995),Drama
195,Something to Talk About (1995),Comedy|Drama|Romance
196,Species (1995),Horror|Sci-Fi
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
202,Total Eclipse (1995),Drama|Romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
204,Under Siege 2: Dark Territory (1995),Action
208,Waterworld (1995),Action|Adventure|Sci-Fi
215,Before Sunrise (1995),Drama|Romance
216,Billy Madison (1995),Comedy
220,Castle Freak (1995),Horror
223,Clerks (1994),Comedy
224,Don Juan DeMarco (1995),Comedy|Drama|Romance
225,Disclosure (1994),Drama|Thriller
230,Dolores Claiborne (1995),Drama|Thriller
235,Ed Wood (1994),Comedy|Drama
236,French Kiss (1995),Action|Comedy|Romance
247,Heavenly Creatures (1994),Crime|Drama
252,I.Q. (1994),Comedy|Romance
256,Junior (1994),Comedy|Sci-Fi
261,Little Women (1994),Drama
266,Legends of the Fall (1994),Drama|Romance|War|Western
267,Major Payne (1995),Comedy
274,Man of the House (1995),Comedy
276,Milk Money (1994),Comedy|Romance
277,Miracle on 34th Street (1994),Drama
281,Nobody's Fool (1994),Comedy|Drama|Romance
282,Nell (1994),Drama
288,Natural Born Killers (1994),Action|Crime|Thriller
289,Only You (1994),Comedy|Romance
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
299,Priest (1994),Drama
300,Quiz Show (1994),Drama
316,Stargate (1994),Action|Adventure|Sci-Fi
319,Shallow Grave (1994),Comedy|Drama|Thriller
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
332,Village of the Damned (1995),Horror|Sci-Fi
333,Tommy Boy (1995),Comedy
337,What's Eating Gilbert Grape (1993),Drama
338,Virtuosity (1995),Action|Sci-Fi|Thriller
339,While You Were Sleeping (1995),Comedy|Romance
344,Ace Ventura: Pet Detective (1994),Comedy
347,Bitter Moon (1992),Drama|Film-Noir|Romance
348,Bullets Over Broadway (1994),Comedy
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance
356,Forrest Gump (1994),Comedy|Drama|Romance|War
357,Four Weddings and a Funeral (1994),Comedy|Romance
360,I Love Trouble (1994),Action|Comedy
361,It Could Happen to You (1994),Comedy|Drama|Romance
365,Little Buddha (1993),Drama
368,Maverick (1994),Adventure|Comedy|Western
372,Reality Bites (1994),Comedy|Drama|Romance
377,Speed (1994),Action|Romance|Thriller
379,Timecop (1994),Action|Sci-Fi|Thriller
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
382,Wolf (1994),Drama|Horror|Romance|Thriller
383,Wyatt Earp (1994),Western
384,Bad Company (1995),Action|Crime|Drama
386,S.F.W. (1994),Drama
393,Street Fighter (1994),Action|Adventure|Fantasy
407,In the Mouth of Madness (1995),Horror|Thriller
409,Above the Rim (1994),Crime|Drama
410,Addams Family Values (1993),Children|Comedy|Fantasy
413,Airheads (1994),Comedy
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
421,Black Beauty (1994),Adventure|Children|Drama
422,Blink (1994),Thriller
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
431,Carlito's Way (1993),Crime|Drama
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
434,Cliffhanger (1993),Action|Adventure|Thriller
435,Coneheads (1993),Comedy|Sci-Fi
436,Color of Night (1994),Drama|Thriller
440,Dave (1993),Comedy|Romance
441,Dazed and Confused (1993),Comedy
442,Demolition Man (1993),Action|Adventure|Sci-Fi
445,Fatal Instinct (1993),Comedy
448,Fearless (1993),Drama
453,For Love or Money (1993),Comedy|Romance
455,Free Willy (1993),Adventure|Children|Drama
456,Fresh (1994),Crime|Drama|Thriller
461,Go Fish (1994),Drama|Romance
464,Hard Target (1993),Action|Adventure|Crime|Thriller
466,Hot Shots! Part Deux (1993),Action|Comedy|War
470,House Party 3 (1994),Comedy
473,In the Army Now (1994),Comedy|War
474,In the Line of Fire (1993),Action|Thriller
475,In the Name of the Father (1993),Drama
477,What's Love Got to Do with It? (1993),Drama|Musical
479,Judgment Night (1993),Action|Crime|Thriller
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
481,Kalifornia (1993),Drama|Thriller
484,Lassie (1994),Adventure|Children
485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
486,Life with Mikey (1993),Comedy
487,Lightning Jack (1994),Comedy|Western
488,M. Butterfly (1993),Drama|Romance
490,Malice (1993),Thriller
492,Manhattan Murder Mystery (1993),Comedy|Mystery
493,Menace II Society (1993),Action|Crime|Drama
494,Executive Decision (1996),Action|Adventure|Thriller
497,Much Ado About Nothing (1993),Comedy|Romance
500,Mrs. Doubtfire (1993),Comedy|Drama
501,Naked (1993),Drama
504,No Escape (1994),Action|Drama|Sci-Fi
505,North (1994),Comedy
506,Orlando (1992),Drama|Fantasy|Romance
508,Philadelphia (1993),Drama
510,Poetic Justice (1993),Drama
517,Rising Sun (1993),Action|Drama|Mystery
519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
520,Robin Hood: Men in Tights (1993),Comedy
524,Rudy (1993),Drama
527,Schindler's List (1993),Drama|War
532,Serial Mom (1994),Comedy|Crime|Horror
535,Short Cuts (1993),Drama
538,Six Degrees of Separation (1993),Drama
539,Sleepless in Seattle (1993),Comedy|Drama|Romance
540,Sliver (1993),Thriller
541,Blade Runner (1982),Action|Sci-Fi|Thriller
542,Son in Law (1993),Comedy|Drama|Romance
543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
544,Striking Distance (1993),Action|Crime
546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
553,Tombstone (1993),Action|Drama|Western
555,True Romance (1993),Crime|Thriller
562,Welcome to the Dollhouse (1995),Comedy|Drama
563,Germinal (1993),Drama|Romance
567,Kika (1993),Comedy|Drama
574,Spanking the Monkey (1994),Comedy|Drama
586,Home Alone (1990),Children|Comedy
587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
590,Dances with Wolves (1990),Adventure|Drama|Western
592,Batman (1989),Action|Crime|Thriller
594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
596,Pinocchio (1940),Animation|Children|Fantasy|Musical
597,Pretty Woman (1990),Comedy|Romance
605,One Fine Day (1996),Drama|Romance
606,Candyman: Farewell to the Flesh (1995),Fantasy|Horror
608,Fargo (1996),Comedy|Crime|Drama|Thriller
609,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children
610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
611,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
613,Jane Eyre (1996),Drama|Romance
628,Primal Fear (1996),Crime|Drama|Mystery|Thriller
631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
636,Frisk (1995),Drama
640,Diabolique (1996),Drama|Thriller
647,Courage Under Fire (1996),Action|Crime|Drama|War
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
662,Fear (1996),Thriller
665,Underground (1995),Comedy|Drama|War
673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
674,Barbarella (1968),Adventure|Comedy|Sci-Fi
692,Solo (1996),Action|Sci-Fi|Thriller
695,True Crime (1996),Mystery|Thriller
703,Boys (1996),Drama
707,Mulholland Falls (1996),Crime|Drama|Thriller
709,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical
714,Dead Man (1995),Drama|Mystery|Western
719,Multiplicity (1996),Comedy
736,Twister (1996),Action|Adventure|Romance|Thriller
742,Thinner (1996),Horror|Thriller
743,Spy Hard (1996),Comedy
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
762,Striptease (1996),Comedy|Crime
765,Jack (1996),Comedy|Drama
773,Touki Bouki (1973),Drama
775,Spirits of the Dead (1968),Horror|Mystery
778,Trainspotting (1996),Comedy|Crime|Drama
781,Stealing Beauty (1996),Drama
785,Kingpin (1996),Comedy
786,Eraser (1996),Action|Drama|Thriller
798,Daylight (1996),Action|Adventure|Drama|Thriller
800,Lone Star (1996),Drama|Mystery|Western
802,Phenomenon (1996),Drama|Romance
804,She's the One (1996),Comedy|Romance
810,Kazaam (1996),Children|Comedy|Fantasy
832,Ransom (1996),Crime|Thriller
836,Chain Reaction (1996),Action|Adventure|Thriller
837,Matilda (1996),Children|Comedy|Fantasy
838,Emma (1996),Comedy|Drama|Romance
849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
852,Tin Cup (1996),Comedy|Drama|Romance
866,Bound (1996),Crime|Drama|Romance|Thriller
875,Nothing to Lose (1994),Action|Crime|Drama
885,Bogus (1996),Children|Drama|Fantasy
886,Bulletproof (1996),Action|Comedy|Crime
899,Singin' in the Rain (1952),Comedy|Musical|Romance
901,Funny Face (1957),Comedy|Musical
902,Breakfast at Tiffany's (1961),Drama|Romance
903,Vertigo (1958),Drama|Mystery|Romance|Thriller
904,Rear Window (1954),Mystery|Thriller
905,It Happened One Night (1934),Comedy|Romance
906,Gaslight (1944),Drama|Thriller
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
910,Some Like It Hot (1959),Comedy|Crime
911,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller
