,movieId,title,genres,overview,popularity,release_date,vote_average,vote_count,year
0,1,Toy Story,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",114.687,1995-10-30,7.971,17324,1995
1,2,Jumanji,"['Adventure', 'Children', 'Fantasy']","When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",16.751,1995-12-15,7.239,9923,1995
2,3,Grumpier Old Men,"['Comedy', 'Romance']","A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",20.31,1995-12-22,6.494,352,1995
3,5,Father of the Bride Part II,['Comedy'],"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",20.413,1995-12-08,6.24,670,1995
4,6,Heat,"['Action', 'Crime', 'Thriller']",Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,52.2,1995-12-15,7.911,6648,1995
5,7,Sabrina,"['Comedy', 'Romance']","Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work – busily running the family corporate empire, he has no time for a wife and family. David is all play – technically he is employed by the family business, but never shows up for work, spends all his time entertaining, and has been married and divorced three times. Meanwhile, Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who goes away to Paris for two years, and returns to capture David's attention, while falling in love with Linus.",15.722,1954-09-10,7.517,1137,1954
7,915,Sabrina,"['Comedy', 'Romance']","Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work – busily running the family corporate empire, he has no time for a wife and family. David is all play – technically he is employed by the family business, but never shows up for work, spends all his time entertaining, and has been married and divorced three times. Meanwhile, Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who goes away to Paris for two years, and returns to capture David's attention, while falling in love with Linus.",15.722,1954-09-10,7.517,1137,1954
9,9,Sudden Death,['Action'],When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,18.236,1995-10-27,5.972,646,1995
11,10,GoldenEye,"['Action', 'Adventure', 'Thriller']","When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon",49.132,1995-11-16,6.881,3575,1995
12,12,Dracula: Dead and Loving It,"['Comedy', 'Horror']","When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",22.454,1995-12-22,6.039,892,1995
13,13,Balto,"['Adventure', 'Animation', 'Children']","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",21.789,1995-12-22,7.292,1897,1995
14,14,Nixon,['Drama'],A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,13.785,1995-12-22,6.913,321,1995
15,15,Cutthroat Island,"['Action', 'Adventure', 'Romance']","Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",22.919,1995-12-22,5.756,491,1995
16,16,Casino,"['Crime', 'Drama']","In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",36.346,1995-11-22,8.0,5325,1995
17,17,Sense and Sensibility,"['Drama', 'Romance']","The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",20.52,1995-12-13,7.439,1543,1995
18,18,Four Rooms,['Comedy'],It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,18.272,1995-12-09,5.791,2463,1995
19,19,Ace Ventura: When Nature Calls,['Comedy'],"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",29.077,1995-11-10,6.304,3822,1995
20,20,Money Train,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",19.602,1995-11-21,5.837,693,1995
21,21,Get Shorty,"['Comedy', 'Crime', 'Thriller']","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",17.013,1995-10-20,6.46,926,1995
22,22,Copycat,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,17.088,1995-10-27,6.501,859,1995
23,23,Assassins,"['Action', 'Crime', 'Thriller']","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",25.984,1995-10-06,6.469,1435,1995
24,24,Powder,"['Drama', 'Sci-Fi']","Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",22.156,1995-10-27,6.917,578,1995
25,25,Leaving Las Vegas,"['Drama', 'Romance']","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",26.431,1995-10-27,7.264,1299,1995
26,26,Othello,['Drama'],"When a secret marriage is planned between Othello, a Moorish general, and Desdemona, the daughter of Senator Brabantio, her old suitor Roderigo takes it hard. He allies himself with Iago, who has his own grudge against Othello, and the two conspire to bring Othello down. When their first plan, to have him accused of witchcraft, fails, they plant evidence intended to make him believe Desdemona is unfaithful.",11.239,1951-11-27,7.341,179,1951
27,28,Persuasion,"['Drama', 'Romance']","Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.",11.507,1995-05-01,7.064,118,1995
30,74508,Persuasion,"['Drama', 'Romance']","Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.",11.507,1995-05-01,7.064,118,1995
33,31,Dangerous Minds,['Drama'],"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",19.938,1995-08-11,6.971,1053,1995
