,userId,user_era_vector
0,1,[4.48387097 4.17647059 4.8        5.        ]
1,2,[0.   4.25 4.15 3.7 ]
2,3,[2.7        1.58333333 0.5        0.        ]
3,4,[4.57142857 3.38709677 3.64285714 0.        ]
4,5,[5.   3.75 0.   0.  ]
5,6,[3.5        3.60833333 0.         4.        ]
6,7,[3.72222222 3.22       2.94791667 0.        ]
7,8,[0.         3.34615385 0.         0.        ]
8,9,[3.         2.66666667 3.33333333 0.        ]
9,10,[2.25       2.55555556 3.34693878 3.33333333]
10,11,[0.         3.79487179 0.         0.        ]
11,12,[4.75    4.28125 4.875   0.     ]
12,13,[0.         3.16666667 4.1        0.        ]
13,14,[3.   3.32 3.   4.  ]
14,15,[5.         3.76190476 3.46969697 3.20833333]
15,16,[3.9375     3.61111111 3.64285714 0.        ]
16,17,[4.11111111 4.22222222 4.         0.        ]
17,18,[4.11363636 3.67857143 3.63207547 3.71052632]
18,19,[3.         2.5890411  2.57894737 2.6       ]
19,20,[4.13157895 3.69117647 2.9140625  1.        ]
20,21,[3.80769231 3.33333333 3.35638298 3.16883117]
21,22,[3.625      3.85       2.51851852 0.        ]
22,23,[3.5  3.75 3.7  0.  ]
23,24,[4.         3.68421053 3.46296296 3.5625    ]
24,25,[0.         5.         4.78571429 4.875     ]
25,26,[0.         2.92307692 0.         0.        ]
26,27,[3.53333333 3.45833333 3.5        3.        ]
27,28,[3.09375    2.87037037 3.07098765 5.        ]
28,29,[4.375      3.53333333 4.36363636 4.33333333]
29,30,[0.         4.1        5.         4.66666667]
30,31,[4.         3.73913043 0.         0.        ]
31,32,[4.2        3.56097561 0.         2.        ]
32,33,[1.         3.87301587 0.         3.        ]
33,34,[4.         2.91176471 3.60416667 0.        ]
34,35,[0.         3.90909091 0.         0.        ]
35,36,[3.33333333 2.35294118 2.5        0.        ]
36,37,[4.         4.08333333 0.         0.        ]
37,38,[0.         3.16666667 0.         0.        ]
38,39,[3.5        4.15384615 4.5        0.        ]
39,40,[5.         3.79166667 0.         3.        ]
40,41,[2.58333333 3.15151515 3.53846154 2.84615385]
41,42,[4.6        3.58173077 3.35294118 0.        ]
42,43,[5.        4.4137931 0.        0.       ]
43,44,[0. 3. 0. 0.]
44,45,[3.9375     3.62171053 4.25531915 4.16666667]
45,46,[4.         3.86956522 0.         0.        ]
46,47,[2.5        2.91304348 3.07142857 3.35416667]
47,48,[2.75  3.875 4.25  0.   ]
48,49,[4.    4.4   4.125 4.25 ]
49,50,[3.27586207 3.08333333 2.40909091 2.13461538]
50,51,[4.17307692 3.72916667 3.92553191 1.75      ]
51,52,[0.         4.66666667 4.45283019 4.71428571]
52,53,[5. 5. 5. 0.]
53,54,[0. 3. 0. 0.]
54,55,[0.5        2.6        4.83333333 0.        ]
55,56,[0.  3.8 0.  0. ]
56,57,[4.19642857 3.02234637 3.6        2.5       ]
57,58,[4.66666667 3.74545455 0.         4.        ]
58,59,[4.75    4.03125 0.      5.     ]
59,60,[3.    3.625 0.    0.   ]
60,61,[4.66666667 3.38888889 4.1875     0.        ]
61,62,[3.75       4.42592593 3.97142857 4.02469136]
62,63,[3.53125    3.54054054 3.42465753 4.2       ]
63,64,[4.17857143 3.68120805 3.76373626 3.        ]
64,65,[0.         4.2        4.25       4.07142857]
65,66,[4.5        3.95338983 4.30645161 4.        ]
