,userId,user_vector,avg_rating,num_movies_rated
0,1,"[4.25581395 4.5        4.4        4.19148936 4.22222222 4.28571429
 4.16666667 4.         4.11538462 3.28571429 4.48717949 4.25
 4.05       4.69230769 4.58333333 0.         0.         4.5
 5.         0.        ]",4.286885245901639,122
1,2,"[4.5        0.         0.         4.         0.         4.5
 4.25       3.33333333 3.75       0.         3.9375     4.
 3.875      0.         4.5        4.         3.5        0.
 0.         0.        ]",4.029411764705882,17
2,3,"[3.6        0.5        0.5        0.5        2.83333333 0.5
 3.         0.5        2.75       4.5        0.5        0.
 3.33333333 0.         0.5        0.         0.         0.
 0.         0.        ]",1.763157894736842,19
3,4,"[3.42857143 4.         4.         3.47916667 3.625      3.63333333
 3.3        4.         3.72222222 4.         3.58823529 3.72727273
 2.83333333 4.22222222 4.5        5.         3.         3.66666667
 5.         0.        ]",3.6804123711340204,97
4,5,"[3.8        4.5        4.16666667 3.4        4.25       3.33333333
 3.33333333 3.75       3.66666667 0.         4.15384615 0.
 3.         4.66666667 4.5        0.         4.         5.
 0.         0.        ]",3.8,25
5,6,"[4.03846154 4.16666667 3.625      3.40740741 3.4        3.8125
 3.80555556 3.2        3.57575758 3.4        3.84313725 4.
 3.72727273 4.14285714 3.4        0.         4.         4.2
 2.5        0.        ]",3.606299212598425,127
6,7,"[2.85       3.92857143 3.92857143 3.13461538 3.33333333 2.73529412
 2.86842105 3.40625    3.43181818 4.5        3.140625   3.57142857
 2.82608696 3.5        2.83333333 0.         2.75       1.5
 3.25       0.        ]",3.1158536585365852,82
7,8,"[3.14285714 0.         4.         3.23529412 3.5        3.5
 3.22222222 3.25       3.55555556 0.         3.5        0.
 3.5        0.         3.         0.         4.         1.
 0.         0.        ]",3.3461538461538463,26
8,9,"[3.16666667 4.         4.         3.25       0.         2.
 2.33333333 2.66666667 2.5        2.         4.         5.
 2.8        0.         0.         0.         3.         0.
 0.         0.        ]",2.9473684210526314,19
9,10,"[3.32142857 4.05555556 3.61111111 3.32291667 3.4375     3.33695652
 3.29166667 2.57142857 2.8        0.         3.02702703 3.
 1.5        3.21428571 3.83333333 0.         3.1        0.
 0.         0.        ]",3.22,75
10,11,"[3.45454545 0.         0.         3.5        2.         4.375
 3.53571429 3.77777778 3.66666667 0.         4.3125     4.33333333
 3.28571429 0.         4.5        0.         5.         3.
 0.         0.        ]",3.7948717948717947,39
11,12,"[3.         3.         0.         4.375      4.5        4.64285714
 0.         3.         4.         0.         4.58333333 0.
 4.5        0.         4.5        0.         0.         0.
 0.         0.        ]",4.431818181818182,22
12,13,"[4.25       0.         0.         3.71428571 3.         3.5
 4.25       5.         4.         4.         3.625      4.
 4.         0.         0.         0.         0.         4.
 0.         0.        ]",3.75,16
13,14,"[3.4        0.         3.         2.90909091 0.         3.625
 3.16666667 2.75       3.16666667 0.         3.66666667 0.
 0.         4.         4.         0.         4.         4.25
 0.         0.        ]",3.3214285714285716,28
14,15,"[3.25       3.04545455 2.81818182 3.47222222 2.78571429 3.875
 3.16176471 3.70833333 3.46428571 3.875      3.83823529 3.21428571
 3.55882353 2.75       4.66666667 0.         3.3        2.5
 0.         0.        ]",3.4873417721518987,79
15,16,"[4.125      4.25       4.25       3.7        4.25       3.41666667
 3.38888889 3.75       3.75       4.         3.76086957 3.58333333
 3.85       0.         4.125      0.         3.75       0.
 4.         0.        ]",3.7439024390243905,41
16,17,"[4.07142857 4.1        4.125      4.16666667 4.         4.16666667
 4.15625    4.03571429 4.25       0.         4.30555556 4.
 4.05555556 4.25       4.5        3.5        4.25       4.5
 4.         0.        ]",4.155555555555556,45
17,18,"[3.62025316 3.76470588 3.625      3.4625     3.66129032 3.64516129
 3.53508772 3.83561644 3.71666667 3.07142857 3.90336134 4.015625
 3.62878788 3.6875     4.05555556 3.75       3.66666667 3.7
 3.7        0.        ]",3.7026022304832713,269
